timestamp,src_port,dst_port,packet_size,duration_ms,protocol,llm_confidence_score,llm_label,llm_reason
2025-07-23T14:23:37.647368,443,17822,1438,248,UDP,0.8,Unusual UDP Port Activity,"The use of a high destination port (17822) with UDP protocol from a source port commonly associated with HTTPS (443) could indicate potentially malicious activity, such as an attempt to exploit a vulnerability or establish unauthorized communication."
2025-07-23T14:24:13.783772,443,44896,263,317,UNKNOWN,0.8,Unknown Protocol Activity,"The use of an unknown protocol, combined with a relatively large packet size and a high destination port, may indicate a potential security threat, such as a malware communication or a scanning attempt."
2025-07-23T14:24:32.789509,22,29407,175,252,TCP,0.8,Unusual SSH Activity,"The source port 22 is typically used for SSH connections, but the destination port 29407 is unconventional, suggesting potential misuse of the SSH protocol for unauthorized access or data exfiltration."
2025-07-23T14:25:03.410498,80,65282,576,258,TCP,0.8,Unusual Destination Port Activity,"The destination port 65282 is not a standard port and is rarely used for legitimate traffic, suggesting potential malicious activity such as a backdoor or unauthorized access attempt."
2025-07-23T14:25:34.999023,443,25158,235,197,TCP,0.8,Unusual Destination Port Activity,"The destination port 25158 is not a standard port for common TCP services, and the combination with source port 443 (typically used for HTTPS) may indicate a potential malware or backdoor communication attempt."
2025-07-23T14:25:46.436430,8080,13313,989,420,UDP,0.8,Unusual UDP Activity,"The combination of a large packet size (989 bytes) and an uncommon destination port (13313) using the UDP protocol may indicate potential malicious activity, such as a malware communication or a reconnaissance attempt."
2025-07-23T14:25:59.740191,22,28899,145,441,TCP,0.8,Unusual SSH Port Activity,"The source port 22 is typically used for SSH connections, but the destination port 28899 is uncommon, suggesting potential unauthorized access or malicious activity."
2025-07-23T14:26:23.893547,443,11560,5632,278,TCP,0.8,Unusual TCP Port Combination,"The combination of source port 443 (typically used for HTTPS) and destination port 11560 (an uncommon port) is unusual and may indicate potential malicious activity, such as a reverse shell or unauthorized data transfer."
2025-07-23T14:26:59.490522,22,50570,1447,361,UDP,0.8,Unusual UDP Port Usage,"The use of UDP protocol on a typically TCP-based port 22 (commonly used for SSH) and an unusual destination port 50570, combined with a relatively large packet size, suggests potential malicious activity or unauthorized access attempt."
2025-07-23T14:27:25.755921,22,30476,1304,272,UDP,0.8,Unusual UDP Port Combination,The use of UDP protocol with a source port of 22 (typically used for SSH) and a destination port of 30476 (an uncommon port) is unusual and may indicate a potential scanning or exploitation attempt.
2025-07-23T14:27:43.949000,8080,38053,375,257,UDP,0.8,Unusual UDP Port Activity,"The use of a high destination port (38053) with UDP protocol may indicate potential scanning or exploit attempts, as UDP is often used for scanning and exploitation due to its connectionless nature."
2025-07-23T14:28:20.823168,80,7417,1447,226,TCP,0.8,Unusual Port Combination,"The use of a common source port (80, typically HTTP) paired with a non-standard destination port (7417) could indicate malicious activity, such as an attempt to bypass security controls or establish a covert communication channel."
2025-07-23T14:28:41.176191,443,28845,654,471,UNKNOWN,0.8,Unidentified Protocol Activity,"The protocol used is unknown, and the destination port 28845 is not a standard port, which may indicate potential malicious activity or unauthorized access attempts. The packet size of 654 bytes is relatively large and may be an attempt to exfiltrate data or establish a covert channel."
2025-07-23T14:29:01.720859,443,15513,7488,308,TCP,0.8,Unusual Port Combination,The use of a commonly used secure port (443) as the source port to connect to a non-standard high port (15513) is unusual and may indicate a potential attempt to bypass security controls or a misconfigured service.
2025-07-23T14:29:36.399504,80,58246,494,275,TCP,0.8,Unusual TCP Packet Size,"The packet size of 494 bytes is larger than typical TCP packet sizes, which could indicate potential data exfiltration or malicious activity, especially considering the unusual destination port 58246."
2025-07-23T14:29:59.548536,8080,33563,1186,293,UDP,0.8,Unusual UDP Packet Size,"The packet size of 1186 bytes is larger than typical UDP packets, which could indicate potential data exfiltration or unauthorized file transfers, especially given the non-standard destination port 33563."
